day,dau,supply_per_dau,total_supply,faucet_per_dau,sink_per_dau,net_flow_per_dau,inflation_rate,price_level,velocity,sink_efficiency,dau_retention,new_users,transactions,mkt_volume,fees_collected,price_index,liquidity,arpdau,payer_conversion,whale_revenue_share
0,10000,6014.77,60147706.68,170.0,155.23,14.77,0.000984,1.001,0.05407,0.9131,3136,1500,2260,524387.67,26219.38,1.0332,0.8071,0.2465,0.076,82.8
1,10000,6029.45,60294481.99,170.0,155.32,14.68,0.000975,1.002,0.05396,0.9137,3656,1500,2312,539369.98,26968.5,1.0679,0.8013,0.2465,0.076,82.8
2,10000,6044.03,60440325.36,170.0,155.42,14.58,0.000967,1.0029,0.05384,0.9142,4018,1500,2362,554984.89,27749.24,1.1042,0.7968,0.2465,0.076,82.8
3,10000,6058.52,60585236.23,170.0,155.51,14.49,0.000958,1.0039,0.05373,0.9148,4315,1500,2410,571166.91,28558.35,1.1419,0.7941,0.2465,0.076,82.8
4,10000,6072.92,60729214.06,170.0,155.6,14.4,0.00095,1.0048,0.05362,0.9153,4574,1500,2454,587833.44,29391.67,1.1809,0.7933,0.2465,0.076,82.8
5,10000,6087.23,60872258.27,170.0,155.7,14.3,0.000942,1.0058,0.0535,0.9159,4809,1500,2492,604886.71,30244.34,1.2211,0.7945,0.2465,0.076,82.8
6,10000,6101.44,61014368.3,170.0,155.79,14.21,0.000933,1.0067,0.0534,0.9164,5026,1500,2524,622215.57,31110.78,1.2623,0.7978,0.2465,0.076,82.8
7,10000,6115.55,61155543.61,170.0,155.88,14.12,0.000925,1.0077,0.05329,0.917,5229,1500,2548,639697.2,31984.86,1.3043,0.8032,0.2465,0.076,82.8
8,10000,6129.58,61295783.61,170.0,155.98,14.02,0.000917,1.0086,0.05318,0.9175,5421,1500,2565,657199.04,32859.95,1.3468,0.8107,0.2465,0.076,82.8
9,10000,6143.51,61435087.77,170.0,156.07,13.93,0.000908,1.0095,0.05308,0.9181,5604,1500,2574,674581.04,33729.05,1.3895,0.8202,0.2465,0.076,82.8
10,10000,6157.35,61573455.5,170.0,156.16,13.84,0.0009,1.0104,0.05297,0.9186,5780,1500,2576,691698.56,34584.93,1.4321,0.8316,0.2465,0.076,82.8
11,10000,6171.09,61710886.25,170.0,156.26,13.74,0.000892,1.0113,0.05287,0.9192,5949,1500,2571,708406.14,35420.31,1.4743,0.8449,0.2465,0.076,82.8
12,10000,6184.74,61847379.47,170.0,156.35,13.65,0.000884,1.0122,0.05277,0.9197,6112,1500,2560,724562.46,36228.12,1.5157,0.8599,0.2465,0.076,82.8
13,10000,6198.29,61982934.58,170.0,156.44,13.56,0.000876,1.0131,0.05267,0.9203,6270,1500,2544,740036.54,37001.83,1.5559,0.8764,0.2465,0.076,82.8
14,10000,6211.76,62117551.02,170.0,156.54,13.46,0.000868,1.014,0.05257,0.9208,6424,1500,2525,754715.26,37735.76,1.5947,0.8941,0.2465,0.076,82.8
15,10000,6225.12,62251228.23,170.0,156.63,13.37,0.00086,1.0148,0.05247,0.9214,6573,1500,2504,768511.88,38425.59,1.6318,0.9125,0.2465,0.076,82.8
16,10000,6238.4,62383965.65,170.0,156.73,13.27,0.000852,1.0157,0.05237,0.9219,6718,1500,2472,779956.49,38997.82,1.6669,0.9271,0.2465,0.076,82.8
17,10000,6251.58,62515762.71,170.0,156.82,13.18,0.000845,1.0166,0.05228,0.9225,6860,1500,2426,788362.77,39418.14,1.7,0.9347,0.2465,0.076,82.8
18,10000,6264.66,62646618.85,170.0,156.91,13.09,0.000837,1.0174,0.05218,0.923,6999,1500,2385,796313.85,39815.69,1.731,0.9419,0.2465,0.076,82.8
19,10000,6277.65,62776533.5,170.0,157.01,12.99,0.000829,1.0183,0.05209,0.9236,7135,1500,2354,804033.7,40201.68,1.7602,0.9484,0.2465,0.076,82.8
20,10000,6290.55,62905506.1,170.0,157.1,12.9,0.000821,1.0191,0.052,0.9241,7268,1500,2334,811770.6,40588.53,1.7876,0.9539,0.2465,0.076,82.8
21,10000,6303.35,63033536.09,170.0,157.2,12.8,0.000814,1.0199,0.05191,0.9247,7399,1500,2327,819786.64,40989.33,1.8138,0.9582,0.2465,0.076,82.8
22,10000,6316.06,63160622.89,170.0,157.29,12.71,0.000806,1.0207,0.05182,0.9252,7527,1500,2334,828343.84,41417.19,1.8392,0.9612,0.2465,0.076,82.8
23,10000,6328.68,63286765.95,170.0,157.39,12.61,0.000798,1.0216,0.05173,0.9258,7653,1500,2356,837688.03,41884.4,1.8642,0.9629,0.2465,0.076,82.8
24,10000,6341.2,63411964.69,170.0,157.48,12.52,0.000791,1.0224,0.05164,0.9264,7776,1500,2392,848032.06,42401.6,1.8894,0.9633,0.2465,0.076,82.8
25,10000,6353.62,63536218.55,170.0,157.57,12.43,0.000783,1.0232,0.05156,0.9269,7898,1500,2443,859540.59,42977.03,1.9154,0.9626,0.2465,0.076,82.8
26,10000,6365.95,63659526.96,170.0,157.67,12.33,0.000776,1.024,0.05147,0.9275,8018,1500,2507,872318.1,43615.9,1.9426,0.9611,0.2465,0.076,82.8
27,10000,6378.19,63781889.36,170.0,157.76,12.24,0.000768,1.0248,0.05139,0.928,8135,1500,2582,886401.65,44320.08,1.9714,0.959,0.2465,0.076,82.8
28,10000,6390.33,63903305.17,170.0,157.86,12.14,0.000761,1.0255,0.05131,0.9286,8251,1500,2664,901758.82,45087.94,2.002,0.9566,0.2465,0.076,82.8
29,10000,6402.38,64023773.84,170.0,157.95,12.05,0.000754,1.0263,0.05122,0.9291,8366,1500,2733,915902.27,45795.11,2.0346,0.9475,0.2465,0.076,82.8
30,10000,6414.33,64143294.78,170.0,158.05,11.95,0.000746,1.0271,0.05114,0.9297,8479,1500,2793,929811.52,46490.58,2.0693,0.9357,0.2465,0.076,82.8
31,10000,6426.19,64261867.44,170.0,158.14,11.86,0.000739,1.0278,0.05106,0.9303,8590,1500,2852,944626.79,47231.34,2.106,0.9252,0.2465,0.076,82.8
32,10000,6437.95,64379491.24,170.0,158.24,11.76,0.000732,1.0286,0.05098,0.9308,8700,1500,2908,960254.76,48012.74,2.1445,0.9162,0.2465,0.076,82.8
33,10000,6449.62,64496165.62,170.0,158.33,11.67,0.000725,1.0293,0.05091,0.9314,8808,1500,2958,976565.84,48828.29,2.1848,0.9092,0.2465,0.076,82.8
34,10000,6461.19,64611890.0,170.0,158.43,11.57,0.000717,1.0301,0.05083,0.9319,8915,1500,3002,993399.75,49669.99,2.2263,0.9041,0.2465,0.076,82.8
